the location of the crime, 124, char, 2
211877.467572542, 211877.932882208, 9.10750007629395, 4.0, what you see is wi
211877.467572542, 211877.932882208, 9.10750007629395, 4.0, what you see is wh
211879.018055667, 211879.149538, 1.59999990463257, 4.0, what you see is wha
211880.134490583, 211881.633307, 17.1925010681152, 4.0, what you see is whaq
211880.134490583, 211881.633307, 17.1925010681152, 4.0, what you see is whar
211882.217829333, 211882.283214208, -5.0, 4.0, what you see is whap
211882.368142833, 211882.43320925, -5.0, 4.0, what you see is whas
211882.518036, 211882.583287958, -5.0, 4.0, what you see is whao
211882.651402417, 211882.701177917, -5.0, 4.0, what you see is what
211882.901295208, 211882.966821792, -5.0, 4.0, what you see is whan
211883.73454375, 211883.90016225, 0.0325002670288086, 4.0, what you see is whau
211884.284644708, 211884.366803083, -5.0, 4.0, what you see is whan
211885.80136025, 211886.0180245, -0.957499980926514, 4.0, what you see is whana
211887.78483525, 211887.83473575, 100.0, 1.0, what you see is whan
211888.301476, 211888.418172625, 100.0, 1.0, what you see is wha
211889.184871833, 211890.567072333, 18.1824989318848, 4.0, what you see is whas
211889.184871833, 211890.567072333, 18.1824989318848, 4.0, what you see is whar
211891.2016735, 211891.283848167, -5.0, 4.0, what you see is whaq
211891.368507667, 211891.450504542, -5.0, 4.0, what you see is what
211891.768489875, 211891.833843667, -5.0, 4.0, what you see is whap
211892.21840925, 211892.383970625, 0.0325002670288086, 4.0, what you see is what
211894.36864, 211894.6352075, 6.30249977111816, 4.0, what you see is whati
211894.36864, 211894.6352075, 6.30249977111816, 4.0, what you see is whata
211895.368876083, 211895.418865417, -5.0, 4.0, what you see is what
211896.685520208, 211896.8854495, 100.0, 1.0, what you see is wha
211899.952374708, 211901.051165625, 19.2550010681152, 4.0, what you see is what
211899.952374708, 211901.051165625, 19.2550010681152, 4.0, what you see is whas
211902.284467875, 211902.38452275, -5.0, 4.0, what you see is whau
211902.685781708, 211902.917893875, -5.0, 4.0, what you see is whas
211904.169389833, 211904.3359655, 0.197499752044678, 4.0, what you see is whasa
211905.469587583, 211905.519206833, 100.0, 1.0, what you see is whas
211906.002806417, 211906.102832625, 100.0, 1.0, what you see is wha
211906.986161708, 211907.751741167, 22.2250003814697, 4.0, what you see is whaw
211906.986161708, 211907.751741167, 22.2250003814697, 4.0, what you see is whav
211908.884886, 211908.952951583, -5.0, 4.0, what you see is whax
211909.052779833, 211909.118366042, -5.0, 4.0, what you see is whau
211909.186370167, 211909.251836, -5.0, 4.0, what you see is whay
211909.319630917, 211909.401707458, -5.0, 4.0, what you see is what
211910.203129542, 211910.369648583, 1.02250003814697, 4.0, what you see is whata
211910.203129542, 211910.369648583, 1.02250003814697, 4.0, what you see is whatb
211910.919654125, 211910.985136875, -5.0, 4.0, what you see is what
211912.986634542, 211913.85199375, 24.2875003814697, 4.0, what you see is what y
211914.820050792, 211915.802200583, 16.2849998474121, 4.0, what you see is what yp
211914.820050792, 211915.802200583, 16.2849998474121, 4.0, what you see is what yq
211916.336809292, 211916.40208475, -5.0, 4.0, what you see is what yo
211916.936949375, 211917.485261958, 18.1824989318848, 4.0, what you see is what yos
211916.936949375, 211917.485261958, 18.1824989318848, 4.0, what you see is what yor
211918.170129667, 211918.235548083, -5.0, 4.0, what you see is what yoq
211918.337144917, 211918.385543833, -5.0, 4.0, what you see is what yot
211918.453602708, 211918.5203125, -5.0, 4.0, what you see is what yop
211918.586491292, 211918.668628167, -5.0, 4.0, what you see is what you
211920.10379775, 211920.202508083, 0.445000171661377, 4.0, what you see is what youa
211920.10379775, 211920.202508083, 0.445000171661377, 4.0, what you see is what youb
211920.7037395, 211920.785751583, -5.0, 4.0, what you see is what you
211921.370528625, 211924.270612042, 6.46749973297119, 4.0, what you see is what you i
211921.370528625, 211924.270612042, 6.46749973297119, 4.0, what you see is what you a
211925.36938275, 211925.437214917, -5.0, 4.0, what you see is what you
211925.537293208, 211925.619483333, -5.0, 4.0, what you see is what you f
211925.687592625, 211925.770826708, -5.0, 4.0, what you see is what you e
211925.987429875, 211926.069421625, -5.0, 4.0, what you see is what you g
211926.637521, 211926.937481542, 4.15750026702881, 4.0, what you see is what you ga
211926.637521, 211926.937481542, 4.15750026702881, 4.0, what you see is what you gi
211927.604170167, 211927.6707095, -5.0, 4.0, what you see is what you g
211927.770770667, 211927.83624775, -5.0, 4.0, what you see is what you gc
211927.9209825, 211927.986265833, -5.0, 4.0, what you see is what you gd
211928.054451625, 211928.136464167, -5.0, 4.0, what you see is what you gb
211928.187621458, 211928.269404333, -5.0, 4.0, what you see is what you ge
211929.020993125, 211930.036469833, 23.3800010681152, 4.0, what you see is what you gex
211929.020993125, 211930.036469833, 23.3800010681152, 4.0, what you see is what you gey
211930.904360958, 211930.986499167, -5.0, 4.0, what you see is what you gew
211931.071254792, 211931.13636175, -5.0, 4.0, what you see is what you gez
211931.221132292, 211931.269774625, -5.0, 4.0, what you see is what you gev
211931.3377175, 211931.419728333, -5.0, 4.0, what you see is what you geu
211931.487734458, 211931.553306458, -5.0, 4.0, what you see is what you get
gun powder must be handled with care, 132, char, 7
211936.054839, 211937.970217125, 6.05500030517578, 4.0, i
211936.054839, 211937.970217125, 6.05500030517578, 4.0, a
211938.738173792, 211938.820242333, -5.0, 4.0, 
211938.88833, 211938.970359667, -5.0, 4.0, f
211939.038339667, 211939.103670875, -5.0, 4.0, e
211939.154932625, 211939.253651667, -5.0, 4.0, d
211939.321504, 211939.403623042, -5.0, 4.0, g
211941.821798667, 211943.3039275, 20.2449989318848, 4.0, gu
211944.172102292, 211944.988616583, 14.3049983978271, 4.0, gui
211944.172102292, 211944.988616583, 14.3049983978271, 4.0, gun
211946.688818375, 211946.838777833, 3.41499996185303, 4.0, guna
211946.688818375, 211946.838777833, 3.41499996185303, 4.0, gunc
211947.472034042, 211947.537481625, -5.0, 4.0, gun
211948.488964417, 211949.638872917, 19.0075016021729, 4.0, gun s
211948.488964417, 211949.638872917, 19.0075016021729, 4.0, gun t
211950.305554958, 211950.372238583, -5.0, 4.0, gun r
211950.472389208, 211950.554302625, -5.0, 4.0, gun u
211950.639278792, 211950.689043292, -5.0, 4.0, gun q
211950.772302708, 211950.854445625, -5.0, 4.0, gun v
211950.90581725, 211951.004467542, -5.0, 4.0, gun p
211952.055894375, 211953.2392445, 14.5524997711182, 4.0, gun pi
211952.055894375, 211953.2392445, 14.5524997711182, 4.0, gun po
211954.656275708, 211956.772744125, 23.0500011444092, 4.0, gun pox
211954.656275708, 211956.772744125, 23.0500011444092, 4.0, gun pow
211957.806093042, 211958.90639475, 3.41499996185303, 4.0, gun powa
211957.806093042, 211958.90639475, 3.41499996185303, 4.0, gun powc
211959.542053833, 211959.605021333, -5.0, 4.0, gun pow
211959.689817917, 211959.773158917, -5.0, 4.0, gun powb
211959.872965, 211959.938302708, -5.0, 4.0, gun powd
211961.006548958, 211961.289598833, 5.3125, 4.0, gun powda
211961.006548958, 211961.289598833, 5.3125, 4.0, gun powdi
211961.972967042, 211962.055123, -5.0, 4.0, gun powd
211962.139946417, 211962.205180875, -5.0, 4.0, gun powde
211962.939904208, 211964.989809542, 16.2024993896484, 4.0, gun powdep
211962.939904208, 211964.989809542, 16.2024993896484, 4.0, gun powdeq
211965.556574542, 211965.63870525, -5.0, 4.0, gun powdeo
211965.72336475, 211965.78876475, -5.0, 4.0, gun powder
211966.973459667, 211967.156744833, 3.16750049591064, 4.0, gun powdera
211966.973459667, 211967.156744833, 3.16750049591064, 4.0, gun powderb
211967.706794667, 211967.773499292, -5.0, 4.0, gun powder
211969.023707542, 211969.688947625, 12.4899997711182, 4.0, gun powder i
211969.023707542, 211969.688947625, 12.4899997711182, 4.0, gun powder l
211970.190169125, 211970.256913542, -5.0, 4.0, gun powder m
211970.907110167, 211972.255947375, 24.0399990081787, 4.0, gun powder my
211970.907110167, 211972.255947375, 24.0399990081787, 4.0, gun powder mx
211972.923775833, 211972.990352042, -5.0, 4.0, gun powder mz
211973.074112417, 211973.140466125, -5.0, 4.0, gun powder mw
211973.240734833, 211973.290547875, -5.0, 4.0, gun powder mv
211973.357012417, 211973.455900042, -5.0, 4.0, gun powder mu
211974.14063025, 211974.889274708, 19.0075016021729, 4.0, gun powder mus
211975.723995583, 211976.339452542, 18.1000003814697, 4.0, gun powder musr
211975.723995583, 211976.339452542, 18.1000003814697, 4.0, gun powder muss
211977.422848167, 211977.4907845, -5.0, 4.0, gun powder musq
211977.574087375, 211977.639502125, -5.0, 4.0, gun powder must
211979.341057, 211979.490902, 0.279999732971191, 4.0, gun powder musta
211979.341057, 211979.490902, 0.279999732971191, 4.0, gun powder mustb
211979.907562208, 211979.974244708, -5.0, 4.0, gun powder must
211981.257778667, 211981.740935833, 2.17750024795532, 4.0, gun powder must a
211981.257778667, 211981.740935833, 2.17750024795532, 4.0, gun powder must b
211983.491277458, 211983.806502292, 4.23999977111816, 4.0, gun powder must ba
211983.491277458, 211983.806502292, 4.23999977111816, 4.0, gun powder must bi
211984.441288583, 211984.507935, -5.0, 4.0, gun powder must b
211984.607964875, 211984.656626208, -5.0, 4.0, gun powder must bd
211984.741402792, 211984.806693292, -5.0, 4.0, gun powder must bc
211984.874731292, 211984.9399975, -5.0, 4.0, gun powder must be
211986.558097125, 211986.673433833, -0.875, 4.0, gun powder must bea
211986.558097125, 211986.673433833, -0.875, 4.0, gun powder must beb
211987.17463925, 211987.241357542, -5.0, 4.0, gun powder must be
211988.158091917, 211989.158287667, 5.55999946594238, 4.0, gun powder must be a
211988.158091917, 211989.158287667, 5.55999946594238, 4.0, gun powder must be i
211989.858149958, 211989.941553292, -5.0, 4.0, gun powder must be
211990.058473875, 211990.108350667, -5.0, 4.0, gun powder must be e
211990.208241333, 211990.273634167, -5.0, 4.0, gun powder must be d
211990.341588125, 211990.408271125, -5.0, 4.0, gun powder must be f
211990.474882417, 211990.557032083, -5.0, 4.0, gun powder must be c
211990.625097292, 211990.691701083, -5.0, 4.0, gun powder must be g
211991.408345333, 211991.474917083, -5.0, 4.0, gun powder must be b
211991.625157542, 211991.690440292, -5.0, 4.0, gun powder must be h
211992.575220625, 211992.75842975, 0.0325002670288086, 4.0, gun powder must be ha
211993.641893958, 211994.375179375, 14.2224998474121, 4.0, gun powder must be hai
211993.641893958, 211994.375179375, 14.2224998474121, 4.0, gun powder must be han
211995.60867325, 211995.958658625, 6.71499919891357, 4.0, gun powder must be hani
211995.60867325, 211995.958658625, 6.71499919891357, 4.0, gun powder must be hana
211996.75875875, 211996.808757083, -5.0, 4.0, gun powder must be han
211996.908837917, 211996.974031375, -5.0, 4.0, gun powder must be hanf
211997.058883958, 211997.108781542, -5.0, 4.0, gun powder must be hang
211997.192094417, 211997.257628542, -5.0, 4.0, gun powder must be hane
211997.342032083, 211997.408847542, -5.0, 4.0, gun powder must be hanh
211997.508885375, 211997.575533958, -5.0, 4.0, gun powder must be hand
211998.708908542, 211999.473984333, 11.2525005340576, 4.0, gun powder must be handi
211998.708908542, 211999.473984333, 11.2525005340576, 4.0, gun powder must be handk
211999.99218175, 212000.05895925, -5.0, 4.0, gun powder must be handl
212000.592371167, 212001.025639083, 4.23999977111816, 4.0, gun powder must be handla
212000.592371167, 212001.025639083, 4.23999977111816, 4.0, gun powder must be handli
212001.675630208, 212001.758989, -5.0, 4.0, gun powder must be handl
212001.859176, 212001.909166458, -5.0, 4.0, gun powder must be handld
212002.009378667, 212002.057801667, -5.0, 4.0, gun powder must be handlc
212002.142332792, 212002.2079255, -5.0, 4.0, gun powder must be handle
212003.892598292, 212004.62591075, 4.15750026702881, 4.0, gun powder must be handlea
212003.892598292, 212004.62591075, 4.15750026702881, 4.0, gun powder must be handlei
212005.125880667, 212005.192573792, -5.0, 4.0, gun powder must be handle
212005.27596575, 212005.341311542, -5.0, 4.0, gun powder must be handlec
212005.426194458, 212005.491369458, -5.0, 4.0, gun powder must be handled
212006.359333958, 212006.509356458, -0.875, 4.0, gun powder must be handleda
212006.359333958, 212006.509356458, -0.875, 4.0, gun powder must be handledb
212007.042568208, 212007.141319125, -5.0, 4.0, gun powder must be handled
212008.359600542, 212009.225067, 23.6275005340576, 4.0, gun powder must be handled x
212008.359600542, 212009.225067, 23.6275005340576, 4.0, gun powder must be handled y
212009.826218833, 212009.891563708, -5.0, 4.0, gun powder must be handled w
212010.759696417, 212011.208418625, 10.0975008010864, 4.0, gun powder must be handled wi
212011.959742375, 212012.925164375, 19.2550010681152, 4.0, gun powder must be handled wit
212013.859895458, 212014.591865125, 8.19999980926514, 4.0, gun powder must be handled witi
212013.859895458, 212014.591865125, 8.19999980926514, 4.0, gun powder must be handled with
212017.043527625, 212017.125560625, 0.527500152587891, 4.0, gun powder must be handled witha
212017.043527625, 212017.125560625, 0.527500152587891, 4.0, gun powder must be handled withb
212017.726573333, 212017.7933545, -5.0, 4.0, gun powder must be handled with
212020.393597792, 212020.577012042, 4.40499973297119, 4.0, gun powder must be handled with a
212020.393597792, 212020.577012042, 4.40499973297119, 4.0, gun powder must be handled with i
212021.2435665, 212021.308964292, -5.0, 4.0, gun powder must be handled with
212021.393748417, 212021.458964667, -5.0, 4.0, gun powder must be handled with d
212021.543846125, 212021.593774083, -5.0, 4.0, gun powder must be handled with c
212022.777478833, 212022.926116708, 0.197499752044678, 4.0, gun powder must be handled with ca
212023.760513333, 212024.559262875, 16.1199989318848, 4.0, gun powder must be handled with cap
212023.760513333, 212024.559262875, 16.1199989318848, 4.0, gun powder must be handled with caq
212025.177132292, 212025.242639833, -5.0, 4.0, gun powder must be handled with cao
212025.3273665, 212025.392666125, -5.0, 4.0, gun powder must be handled with car
212026.144086375, 212026.459407167, 7.21000003814697, 4.0, gun powder must be handled with cari
212026.144086375, 212026.459407167, 7.21000003814697, 4.0, gun powder must be handled with carg
212027.34397275, 212027.409395333, -5.0, 4.0, gun powder must be handled with car
212027.494052792, 212027.5594025, -5.0, 4.0, gun powder must be handled with carf
212027.627689083, 212027.694103208, -5.0, 4.0, gun powder must be handled with carh
212027.777448375, 212027.842872083, -5.0, 4.0, gun powder must be handled with care
the elevator door appears to be stuck, 177, char, 8
212030.227571208, 212031.492995292, 18.0174999237061, 4.0, r
212032.794710458, 212033.19312525, 11.1700000762939, 4.0, ri
212036.077913333, 212036.12777175, 100.0, 1.0, r
212036.444711708, 212036.544904958, 100.0, 1.0, 
212037.494636333, 212038.043587375, 21.0700016021729, 4.0, v
212037.494636333, 212038.043587375, 21.0700016021729, 4.0, u
212038.761540542, 212038.810137208, -5.0, 4.0, w
212038.8947865, 212038.960194417, -5.0, 4.0, t
212040.161586708, 212040.727082125, 9.93249988555908, 4.0, ti
212040.161586708, 212040.727082125, 9.93249988555908, 4.0, tj
212041.494922208, 212041.578264042, -5.0, 4.0, tk
212041.678601083, 212041.743683583, -5.0, 4.0, th
212042.578393792, 212042.811782417, 4.15750026702881, 4.0, tha
212042.578393792, 212042.811782417, 4.15750026702881, 4.0, thi
212043.495078417, 212043.560448542, -5.0, 4.0, th
212043.645292042, 212043.71043325, -5.0, 4.0, thc
212043.761864792, 212043.845314917, -5.0, 4.0, thd
212043.911896208, 212043.993877042, -5.0, 4.0, thb
212044.045218875, 212044.127146542, -5.0, 4.0, the
212046.145650292, 212046.277387875, -0.875, 4.0, thea
212046.145650292, 212046.277387875, -0.875, 4.0, theb
212046.745134875, 212046.827337083, -5.0, 4.0, the
212048.228853333, 212048.477197625, 6.05500030517578, 4.0, the i
212048.228853333, 212048.477197625, 6.05500030517578, 4.0, the a
212049.178741, 212049.260580792, -5.0, 4.0, the
212049.3285395, 212049.410533417, -5.0, 4.0, the f
212049.478879833, 212049.545628875, -5.0, 4.0, the e
212050.31227925, 212050.795650417, 10.0150003433228, 4.0, the ei
212050.31227925, 212050.795650417, 10.0150003433228, 4.0, the ej
212051.545627292, 212051.594414083, -5.0, 4.0, the ek
212051.7148215, 212051.745585625, -5.0, 4.0, the eh
212051.829236125, 212051.910956208, -5.0, 4.0, the el
212052.612457125, 212053.14573375, 4.07499980926514, 4.0, the ela
212052.612457125, 212053.14573375, 4.07499980926514, 4.0, the eli
212054.129124375, 212054.19448275, -5.0, 4.0, the el
212054.279601958, 212054.327714417, -5.0, 4.0, the elc
212054.412662958, 212054.477851292, -5.0, 4.0, the eld
212054.529210375, 212054.611358042, -5.0, 4.0, the elb
212054.662653125, 212054.744614125, -5.0, 4.0, the ele
212056.196010542, 212057.462743375, 19.0075016021729, 4.0, the eles
212056.196010542, 212057.462743375, 19.0075016021729, 4.0, the elet
212057.962715708, 212058.044726458, -5.0, 4.0, the eler
212058.129756292, 212058.194751917, -5.0, 4.0, the eleu
212058.262760292, 212058.344708833, -5.0, 4.0, the eleq
212058.429359875, 212058.496253875, -5.0, 4.0, the elev
212059.1629455, 212059.312865292, 4.23999977111816, 4.0, the eleva
212060.26300125, 212061.34508225, 20.1625003814697, 4.0, the elevau
212060.26300125, 212061.34508225, 20.1625003814697, 4.0, the elevat
212062.446417875, 212063.245206333, 12.5725002288818, 4.0, the elevati
212062.446417875, 212063.245206333, 12.5725002288818, 4.0, the elevatl
212063.812906417, 212063.895107458, -5.0, 4.0, the elevatm
212063.963197417, 212064.045498583, -5.0, 4.0, the elevatk
212064.129991958, 212064.179894917, -5.0, 4.0, the elevatn
212064.246451125, 212064.328670333, -5.0, 4.0, the elevatj
212064.396449917, 212064.4788015, -5.0, 4.0, the elevato
212065.830009875, 212066.995389625, 18.0174999237061, 4.0, the elevator
212068.430187583, 212068.562121375, 3.66249942779541, 4.0, the elevatora
212068.430187583, 212068.562121375, 3.66249942779541, 4.0, the elevatorc
212069.18025325, 212069.246758417, -5.0, 4.0, the elevator
212070.363634958, 212070.663622333, 4.15750026702881, 4.0, the elevator a
212070.363634958, 212070.663622333, 4.15750026702881, 4.0, the elevator i
212071.280150625, 212071.345614208, -5.0, 4.0, the elevator
212071.447045625, 212071.513869583, -5.0, 4.0, the elevator c
212071.597228792, 212071.662400875, -5.0, 4.0, the elevator d
212072.263780375, 212072.847058875, 16.2849998474121, 4.0, the elevator dp
212072.263780375, 212072.847058875, 16.2849998474121, 4.0, the elevator dq
212073.363716458, 212073.445725542, -5.0, 4.0, the elevator do
212073.913905167, 212074.612405, 12.0774993896484, 4.0, the elevator doi
212073.913905167, 212074.612405, 12.0774993896484, 4.0, the elevator dol
212075.180416083, 212075.245782042, -5.0, 4.0, the elevator dok
212075.313872792, 212075.380573667, -5.0, 4.0, the elevator dom
212075.447273125, 212075.529152625, -5.0, 4.0, the elevator doj
212075.580497667, 212075.679303208, -5.0, 4.0, the elevator don
212075.713900958, 212075.79610275, -5.0, 4.0, the elevator doo
212076.563944167, 212077.662693583, 20.0799999237061, 4.0, the elevator doou
212076.563944167, 212077.662693583, 20.0799999237061, 4.0, the elevator doot
212078.397315333, 212078.462782792, -5.0, 4.0, the elevator doov
212078.547486417, 212078.612811792, -5.0, 4.0, the elevator doos
212078.6809155, 212078.747456458, -5.0, 4.0, the elevator door
212078.830807625, 212078.896134958, -5.0, 4.0, the elevator doow
212079.664137958, 212079.779574, -5.0, 4.0, the elevator door
212081.814442667, 212082.012997333, 4.32250022888184, 4.0, the elevator doora
212081.814442667, 212082.012997333, 4.32250022888184, 4.0, the elevator doori
212082.580847917, 212082.614412875, -5.0, 4.0, the elevator door
212083.9811655, 212084.0631745, -0.957499980926514, 4.0, the elevator door a
212085.36457325, 212086.046673292, 12.1599998474121, 4.0, the elevator door ai
212085.36457325, 212086.046673292, 12.1599998474121, 4.0, the elevator door al
212086.797910167, 212086.863246625, -5.0, 4.0, the elevator door am
212086.948166208, 212086.998061875, -5.0, 4.0, the elevator door ak
212087.081528458, 212087.146679167, -5.0, 4.0, the elevator door an
212087.197931458, 212087.281373667, -5.0, 4.0, the elevator door aj
212087.331302, 212087.414666667, -5.0, 4.0, the elevator door ao
212088.131414083, 212088.213296417, -5.0, 4.0, the elevator door ah
212088.631376583, 212088.71469525, -5.0, 4.0, the elevator door ap
212089.831528, 212090.396806167, 16.2024993896484, 4.0, the elevator door app
212091.41502725, 212091.931581167, 5.06500053405762, 4.0, the elevator door appa
212091.41502725, 212091.931581167, 5.06500053405762, 4.0, the elevator door appi
212092.448335333, 212092.530331542, -5.0, 4.0, the elevator door app
212092.598649708, 212092.663751125, -5.0, 4.0, the elevator door appd
212092.748311, 212092.813687417, -5.0, 4.0, the elevator door appe
212095.031832125, 212096.064062083, 16.2024993896484, 4.0, the elevator door appep
212095.031832125, 212096.064062083, 16.2024993896484, 4.0, the elevator door appeq
212096.748499792, 212096.830616375, -5.0, 4.0, the elevator door appeo
212096.898661583, 212096.980592917, -5.0, 4.0, the elevator door apper
212099.682171458, 212100.682184958, 20.5749988555908, 4.0, the elevator door apperu
212099.682171458, 212100.682184958, 20.5749988555908, 4.0, the elevator door apperv
212101.348838125, 212101.41427375, -5.0, 4.0, the elevator door appert
212101.515702, 212101.5640995, -5.0, 4.0, the elevator door apperw
212101.64892075, 212101.71427425, -5.0, 4.0, the elevator door appers
212103.882451625, 212104.847804583, 21.2350006103516, 4.0, the elevator door appersv
212103.882451625, 212104.847804583, 21.2350006103516, 4.0, the elevator door appersu
212105.565845333, 212105.631199208, -5.0, 4.0, the elevator door appersw
212105.716242375, 212105.781233833, -5.0, 4.0, the elevator door apperst
212108.899468292, 212109.032655708, 100.0, 1.0, the elevator door appers
212110.049426625, 212110.182810167, 100.0, 1.0, the elevator door apper
212110.699493042, 212110.849409583, 100.0, 1.0, the elevator door appe
212111.432780375, 212111.716516375, 4.23999977111816, 4.0, the elevator door appea
212111.432780375, 212111.716516375, 4.23999977111816, 4.0, the elevator door appei
212112.349506375, 212112.4149885, -5.0, 4.0, the elevator door appe
212114.633201833, 212114.782947958, 2.34249973297119, 4.0, the elevator door appe a
212115.599976292, 212115.69977475, 100.0, 1.0, the elevator door appe
212116.949963875, 212117.165238167, 0.445000171661377, 4.0, the elevator door appea
212119.233451292, 212119.998896542, 22.5549983978271, 4.0, the elevator door appeaw
212119.233451292, 212119.998896542, 22.5549983978271, 4.0, the elevator door appeax
212120.767549208, 212120.832233208, -5.0, 4.0, the elevator door appeav
212120.916929417, 212120.982212792, -5.0, 4.0, the elevator door appeay
212121.050442375, 212121.115583583, -5.0, 4.0, the elevator door appeau
212121.166924, 212121.233577292, -5.0, 4.0, the elevator door appeaz
212121.300184375, 212121.382366208, -5.0, 4.0, the elevator door appeat
212121.450180875, 212121.532350542, -5.0, 4.0, the elevator door appeas
212122.350181792, 212122.415614583, -5.0, 4.0, the elevator door appear
212123.867123167, 212124.46570075, 18.1000003814697, 4.0, the elevator door appearr
212123.867123167, 212124.46570075, 18.1000003814697, 4.0, the elevator door appears
212125.867216458, 212125.999212833, 0.279999732971191, 4.0, the elevator door appearsa
212125.867216458, 212125.999212833, 0.279999732971191, 4.0, the elevator door appearsb
212126.500558208, 212126.567097083, -5.0, 4.0, the elevator door appears
212127.517315958, 212128.416050042, 20.7399997711182, 4.0, the elevator door appears u
212127.517315958, 212128.416050042, 20.7399997711182, 4.0, the elevator door appears v
212129.017288083, 212129.082749083, -5.0, 4.0, the elevator door appears t
212130.217494167, 212131.066191792, 16.0375003814697, 4.0, the elevator door appears tp
212130.217494167, 212131.066191792, 16.0375003814697, 4.0, the elevator door appears tq
212131.534261333, 212131.599582292, -5.0, 4.0, the elevator door appears to
212132.551004375, 212132.633029875, -0.792500019073486, 4.0, the elevator door appears toa
212132.551004375, 212132.633029875, -0.792500019073486, 4.0, the elevator door appears tob
212133.100893708, 212133.182994583, -5.0, 4.0, the elevator door appears to
212134.151131542, 212134.301097292, 1.02250003814697, 4.0, the elevator door appears to a
212134.151131542, 212134.301097292, 1.02250003814697, 4.0, the elevator door appears to b
212135.501243083, 212135.75127625, 3.16750049591064, 4.0, the elevator door appears to ba
212135.501243083, 212135.75127625, 3.16750049591064, 4.0, the elevator door appears to bb
212136.217753208, 212136.284316875, -5.0, 4.0, the elevator door appears to b
212136.38452275, 212136.433213875, -5.0, 4.0, the elevator door appears to bc
212136.534596542, 212136.583232458, -5.0, 4.0, the elevator door appears to bd
212136.651363333, 212136.717828, -5.0, 4.0, the elevator door appears to be
212137.851384, 212137.966828292, 0.197499752044678, 4.0, the elevator door appears to bea
212137.851384, 212137.966828292, 0.197499752044678, 4.0, the elevator door appears to beb
212138.401323333, 212138.449953833, -5.0, 4.0, the elevator door appears to be
212139.701520667, 212141.050134583, 18.0174999237061, 4.0, the elevator door appears to be r
212139.701520667, 212141.050134583, 18.0174999237061, 4.0, the elevator door appears to be s
212142.251706083, 212143.067045833, 22.1424999237061, 4.0, the elevator door appears to be sw
212142.251706083, 212143.067045833, 22.1424999237061, 4.0, the elevator door appears to be sv
212143.884932583, 212143.96701875, -5.0, 4.0, the elevator door appears to be sx
212144.051776417, 212144.101795417, -5.0, 4.0, the elevator door appears to be su
212144.184998667, 212144.250461917, -5.0, 4.0, the elevator door appears to be sy
212144.318359708, 212144.400631375, -5.0, 4.0, the elevator door appears to be st
212144.968491708, 212145.585366708, 21.0700016021729, 4.0, the elevator door appears to be stv
212144.968491708, 212145.585366708, 21.0700016021729, 4.0, the elevator door appears to be stu
212146.868483458, 212147.202082792, 6.22000026702881, 4.0, the elevator door appears to be stui
212146.868483458, 212147.202082792, 6.22000026702881, 4.0, the elevator door appears to be stua
212148.635269042, 212148.700783333, -5.0, 4.0, the elevator door appears to be stu
212148.785509542, 212148.850780333, -5.0, 4.0, the elevator door appears to be stuf
212148.918758375, 212149.000809458, -5.0, 4.0, the elevator door appears to be stue
212149.052084667, 212149.134182583, -5.0, 4.0, the elevator door appears to be stug
212149.218711667, 212149.285328333, -5.0, 4.0, the elevator door appears to be stud
212149.385387, 212149.450981708, -5.0, 4.0, the elevator door appears to be stuh
212149.968675125, 212150.033974208, -5.0, 4.0, the elevator door appears to be stuc
212153.218971417, 212153.834209625, 11.2525005340576, 4.0, the elevator door appears to be stuci
212153.218971417, 212153.834209625, 11.2525005340576, 4.0, the elevator door appears to be stuck
we have enough witnesses, 69, word, 9
212560.828789667, 212562.062396625, 22.2250003814697, 4.0, w
212564.462644083, 212564.812397667, 4.07499980926514, 4.0, we
212564.462644083, 212564.812397667, 4.07499980926514, 4.0, uh
212573.863214333, 212574.163306042, 7.04500007629395, 4.0, uh i
212574.4629325, 212574.596529083, 1.59999990463257, 4.0, uh he
212575.313342708, 212576.246800167, 19.2550010681152, 4.0, uh has
212576.529917667, 212576.74679, 5.23000049591064, 4.0, uh have
212578.880247667, 212579.046909833, 3.00250053405762, 4.0, uh have a
212579.329963167, 212579.780336667, 13.0675010681152, 4.0, uh have an
212579.913245, 212580.230403375, 18.1824989318848, 4.0, uh have for
212580.463286333, 212580.8470825, 17.9349994659424, 4.0, uh have also
212581.130185875, 212587.680846625, 5.14750003814697, 4.0, uh have close
212588.047365333, 212588.380820417, 5.14750003814697, 4.0, uh have closed
212588.047365333, 212588.380820417, 5.14750003814697, 4.0, uh have amused
212589.512882792, 212589.612948917, -5.0, 4.0, uh have enough
212595.614501292, 212595.731085708, 100.0, 1.0, uh have
212595.614501292, 212595.731085708, 100.0, 1.0, uh
212596.338649, 212596.338649, 100.0, -1.0, 
212599.330250958, 212600.331705917, 26.3500003814697, 4.0, z
212600.481675042, 212601.031658292, 9.02500057220459, 4.0, we
212601.281689917, 212601.398188958, 100.0, 1.0, z
212601.281689917, 212601.948084167, 16.3674983978271, 4.0, wo
212602.248444, 212603.715069292, 4.73499965667725, 4.0, zoe
212604.465235792, 212604.531670875, 100.0, 1.0, 
212605.34865375, 212609.848937833, 21.0700016021729, 4.0, v
212610.115462708, 212612.099066875, 6.13749980926514, 4.0, we
212612.649080375, 212613.547951208, -3.0200001001358, 4.0, web
212614.432520917, 212614.56570925, 100.0, 1.0, 
