find a nearby parking spot, 124, char, 1
229512.152661333, 229512.251567, -5.0, 4.0, find a nearby parking r
229512.31935825, 229512.434885333, -0.710000038146973, 4.0, find a nearby parking l
229512.669258083, 229512.768085, -5.0, 4.0, find a nearby parking s
229513.352822042, 229514.834926958, 13.0675010681152, 4.0, find a nearby parking si
229513.352822042, 229514.834926958, 13.0675010681152, 4.0, find a nearby parking sm
229515.50281475, 229515.5861905, -5.0, 4.0, find a nearby parking sn
229515.669731, 229515.76836425, -5.0, 4.0, find a nearby parking sl
229515.819841417, 229515.901585667, -5.0, 4.0, find a nearby parking sk
229515.936295167, 229516.002860625, -5.0, 4.0, find a nearby parking so
229516.036281875, 229516.118531292, -5.0, 4.0, find a nearby parking sj
229516.336249458, 229516.402914917, -5.0, 4.0, find a nearby parking sp
229517.136352708, 229518.63643125, 12.2424983978271, 4.0, find a nearby parking spi
229517.136352708, 229518.63643125, 12.2424983978271, 4.0, find a nearby parking spl
229519.253165333, 229519.335175583, -5.0, 4.0, find a nearby parking spm
229519.419979292, 229519.46990625, -5.0, 4.0, find a nearby parking spk
229519.586515667, 229519.651820875, -5.0, 4.0, find a nearby parking spn
229519.719938208, 229519.786531208, -5.0, 4.0, find a nearby parking spj
229519.903178583, 229519.985443208, -5.0, 4.0, find a nearby parking spo
229520.803230167, 229521.969925667, 16.0375003814697, 4.0, find a nearby parking spop
229520.803230167, 229521.969925667, 16.0375003814697, 4.0, find a nearby parking spoq
229522.536592583, 229522.619983042, -5.0, 4.0, find a nearby parking spoo
229522.70347725, 229522.785417708, -5.0, 4.0, find a nearby parking spor
229522.853498708, 229522.918888458, -5.0, 4.0, find a nearby parking spon
229523.020064458, 229523.053349083, -5.0, 4.0, find a nearby parking spos
229523.236772667, 229523.302230208, -5.0, 4.0, find a nearby parking spom
229523.620105208, 229523.703253083, -5.0, 4.0, find a nearby parking spot
229525.103693208, 229525.886904833, 4.56999969482422, 4.0, find a nearby parking spota
229529.137067042, 229529.236895125, 100.0, 1.0, find a nearby parking spot
public transit is much faster, 127, char, 2
229533.204010667, 229534.25267525, 14.3049983978271, 4.0, i
229533.204010667, 229534.25267525, 14.3049983978271, 4.0, n
229534.837260875, 229534.904097583, -5.0, 4.0, o
229535.004331542, 229535.069357125, -5.0, 4.0, m
229535.137671708, 229535.202644833, -5.0, 4.0, p
229535.987522208, 229536.669555042, 20.2449989318848, 4.0, pu
229537.737685917, 229538.604258417, 1.10500001907349, 4.0, pua
229537.737685917, 229538.604258417, 1.10500001907349, 4.0, pub
229539.837887833, 229540.536572625, 13.1499996185303, 4.0, pubi
229539.837887833, 229540.536572625, 13.1499996185303, 4.0, pubm
229541.354585542, 229541.419951083, -5.0, 4.0, pubn
229541.504789917, 229541.569925042, -5.0, 4.0, publ
229542.104768542, 229543.088114833, 6.22000026702881, 4.0, publi
229544.0715265, 229545.721536042, 0.197499752044678, 4.0, publia
229544.0715265, 229545.721536042, 0.197499752044678, 4.0, publib
229546.271559417, 229546.370303333, -5.0, 4.0, publi
229546.455022917, 229546.520400125, -5.0, 4.0, public
229547.45502125, 229547.955032667, 1.1875, 4.0, publica
229547.45502125, 229547.955032667, 1.1875, 4.0, publicb
229548.571814, 229548.655088417, -5.0, 4.0, public
229548.738367042, 229548.803793792, -5.0, 4.0, publicc
229550.071751333, 229550.321714208, 2.42499971389771, 4.0, publicca
229551.271812833, 229551.371621792, 100.0, 1.0, publicc
229551.271812833, 229551.721879042, 100.0, 1.0, public
229553.338729292, 229553.537412458, 3.16750049591064, 4.0, publica
229553.338729292, 229553.537412458, 3.16750049591064, 4.0, publicb
229554.155325875, 229554.220732458, -5.0, 4.0, public
229555.12226075, 229556.722100625, 9.10750007629395, 4.0, public i
229555.12226075, 229556.722100625, 9.10750007629395, 4.0, public h
229557.78778525, 229557.854336792, -5.0, 4.0, public j
229557.972557583, 229558.022390542, -5.0, 4.0, public g
229558.122663083, 229558.221171542, -5.0, 4.0, public k
229558.32241725, 229558.372516542, -5.0, 4.0, public f
229558.455869792, 229558.55464125, -5.0, 4.0, public l
229558.655663292, 229558.737762292, -5.0, 4.0, public e
229558.872384333, 229558.905469917, -5.0, 4.0, public m
229559.272718, 229559.354538375, -5.0, 4.0, public d
229559.491618708, 229559.555853333, -5.0, 4.0, public in
229560.422514667, 229560.705660167, 100.0, 1.0, public
229561.422496583, 229562.738002917, 20.0799999237061, 4.0, public u
229561.422496583, 229562.738002917, 20.0799999237061, 4.0, public t
229563.889419625, 229565.621731542, 17.1100006103516, 4.0, public tq
229563.889419625, 229565.621731542, 17.1100006103516, 4.0, public tr
229566.639309583, 229567.02293725, 3.25, 4.0, public tra
229567.889654792, 229569.90531825, 14.0574989318848, 4.0, public trai
229567.889654792, 229569.90531825, 14.0574989318848, 4.0, public tran
229570.839964958, 229573.172111833, 17.0275001525879, 4.0, public tranq
229570.839964958, 229573.172111833, 17.0275001525879, 4.0, public tranr
229573.723406042, 229573.805490125, -5.0, 4.0, public tranp
229573.873491083, 229573.93886775, -5.0, 4.0, public trans
229574.740300458, 229575.405450958, 8.03500080108643, 4.0, public transi
229576.190443917, 229577.539335292, 19.5025005340576, 4.0, public transit
229578.707068667, 229579.340463583, 1.26999998092651, 4.0, public transita
229578.707068667, 229579.340463583, 1.26999998092651, 4.0, public transitb
229579.807020583, 229579.905795292, -5.0, 4.0, public transit
229580.457168333, 229581.072589958, 11.2525005340576, 4.0, public transit i
229582.174004583, 229583.922734958, 17.0275001525879, 4.0, public transit iq
229582.174004583, 229583.922734958, 17.0275001525879, 4.0, public transit ir
229584.457426125, 229584.540738, -5.0, 4.0, public transit ip
229584.607521458, 229584.722783167, -5.0, 4.0, public transit is
229585.623847792, 229586.340609417, 1.10500001907349, 4.0, public transit isa
229587.224093792, 229588.124325792, 11.0874996185303, 4.0, public transit isai
229588.991036167, 229589.157573042, 100.0, 1.0, public transit isa
229588.991036167, 229589.524373125, 100.0, 1.0, public transit is
229590.7911285, 229590.973076167, 0.0325002670288086, 4.0, public transit isa
229590.7911285, 229590.973076167, 0.0325002670288086, 4.0, public transit isb
229591.507760208, 229591.574188875, -5.0, 4.0, public transit is
229592.324715375, 229593.05665, 17.3575000762939, 4.0, public transit is r
229592.324715375, 229593.05665, 17.3575000762939, 4.0, public transit is q
229593.757906583, 229593.823343458, -5.0, 4.0, public transit is s
229593.94169425, 229593.973572375, -5.0, 4.0, public transit is p
229594.1247915, 229594.173369958, -5.0, 4.0, public transit is t
229594.258314917, 229594.30693625, -5.0, 4.0, public transit is o
229594.791482542, 229594.890124125, -5.0, 4.0, public transit is n
229595.007696333, 229595.089871458, -5.0, 4.0, public transit is u
229595.257764667, 229595.339920708, -5.0, 4.0, public transit is m
229596.291169167, 229597.256929792, 20.3274993896484, 4.0, public transit is mu
229598.041634292, 229599.158628542, 4.73499965667725, 4.0, public transit is mua
229598.041634292, 229599.158628542, 4.73499965667725, 4.0, public transit is mui
229599.758492042, 229599.841640792, -5.0, 4.0, public transit is mu
229599.941714417, 229600.023866417, -5.0, 4.0, public transit is mud
229600.108659625, 229600.191490917, -5.0, 4.0, public transit is mue
229600.341768292, 229600.440645708, -5.0, 4.0, public transit is muc
229601.075317625, 229601.675274792, 6.05500030517578, 4.0, public transit is muci
229601.075317625, 229601.675274792, 6.05500030517578, 4.0, public transit is muca
229602.358674583, 229602.441881125, -5.0, 4.0, public transit is muc
229602.541866375, 229602.640584708, -5.0, 4.0, public transit is mucf
229602.72559225, 229602.773933958, -5.0, 4.0, public transit is muce
229602.925382917, 229602.990671375, -5.0, 4.0, public transit is mucd
229603.091983792, 229603.157361, -5.0, 4.0, public transit is mucg
229603.325591917, 229603.423953, -5.0, 4.0, public transit is mucc
229603.8252645, 229603.908718333, -5.0, 4.0, public transit is much
229604.525559458, 229605.275234208, -0.132500171661377, 4.0, public transit is mucha
229604.525559458, 229605.275234208, -0.132500171661377, 4.0, public transit is muchb
229605.842048583, 229605.924215667, -5.0, 4.0, public transit is much
229606.808906833, 229607.224263583, 5.47749996185303, 4.0, public transit is much a
229606.808906833, 229607.224263583, 5.47749996185303, 4.0, public transit is much i
229608.958229542, 229609.007772125, -5.0, 4.0, public transit is much
229609.125898292, 229609.157804458, -5.0, 4.0, public transit is much e
229609.292734792, 229609.357786792, -5.0, 4.0, public transit is much d
229609.609141208, 229609.691075583, -5.0, 4.0, public transit is much f
229610.209134292, 229610.409207333, 0.197499752044678, 4.0, public transit is much fa
229611.14263925, 229612.84140925, 21.3999996185303, 4.0, public transit is much fav
229611.14263925, 229612.84140925, 21.3999996185303, 4.0, public transit is much fau
229613.526054417, 229613.574704958, -5.0, 4.0, public transit is much faw
229613.65943975, 229613.726190208, -5.0, 4.0, public transit is much fat
229613.826222417, 229613.874807792, -5.0, 4.0, public transit is much fax
229614.009344208, 229614.058205792, -5.0, 4.0, public transit is much fas
229614.942659042, 229615.724897, 23.0500011444092, 4.0, public transit is much fasx
229614.942659042, 229615.724897, 23.0500011444092, 4.0, public transit is much fasw
229617.15825475, 229617.22491375, -5.0, 4.0, public transit is much fasy
229617.476205208, 229617.542805, -5.0, 4.0, public transit is much fasv
229617.6265225, 229617.692974958, -5.0, 4.0, public transit is much fasz
229617.776252292, 229617.858403, -5.0, 4.0, public transit is much fasu
229618.042941667, 229618.109621667, -5.0, 4.0, public transit is much fast
229618.959673958, 229620.10979225, 3.33249950408936, 4.0, public transit is much fasta
229618.959673958, 229620.10979225, 3.33249950408936, 4.0, public transit is much fastc
229620.693092833, 229620.776347708, -5.0, 4.0, public transit is much fast
229620.876661625, 229620.9752945, -5.0, 4.0, public transit is much fastb
229621.026653, 229621.109964667, -5.0, 4.0, public transit is much fastd
229621.193333583, 229621.276435792, -5.0, 4.0, public transit is much faste
229622.09324975, 229623.708692375, 15.0475006103516, 4.0, public transit is much fasteo
229622.09324975, 229623.708692375, 15.0475006103516, 4.0, public transit is much fastep
229624.3600065, 229624.458863417, -5.0, 4.0, public transit is much fasten
229624.526869375, 229624.60885625, -5.0, 4.0, public transit is much fasteq
229624.660086833, 229624.826619292, -5.0, 4.0, public transit is much fastem
229625.143370125, 229625.242048875, -5.0, 4.0, public transit is much faster
questioning the wisdom of the courts, 177, char, 3
229628.743616333, 229630.025805958, 18.1000003814697, 4.0, r
229630.560537375, 229631.993900583, 2.75500011444092, 4.0, ra
229630.560537375, 229631.993900583, 2.75500011444092, 4.0, rb
229632.710622208, 229632.7925385, -5.0, 4.0, r
229633.860872333, 229634.676126542, 13.5625, 4.0, r i
229635.24410525, 229635.327191708, 100.0, 1.0, r
229635.794163208, 229636.52749325, 100.0, 1.0, 
229637.3107735, 229638.342913833, 17.2749996185303, 4.0, r
229637.3107735, 229638.342913833, 17.2749996185303, 4.0, q
229639.311097667, 229640.343189542, 21.3175010681152, 4.0, qv
229639.311097667, 229640.343189542, 21.3175010681152, 4.0, qu
229641.927832917, 229642.344560542, 3.16750049591064, 4.0, qua
229641.927832917, 229642.344560542, 3.16750049591064, 4.0, qub
229643.211363, 229643.276689083, -5.0, 4.0, qu
229643.378263375, 229643.428074208, -5.0, 4.0, quc
229643.511172667, 229643.627905542, -5.0, 4.0, qud
229643.994578042, 229644.093294167, -5.0, 4.0, que
229644.928075208, 229645.994739667, 15.1300010681152, 4.0, queo
229644.928075208, 229645.994739667, 15.1300010681152, 4.0, quep
229646.578025958, 229646.676811167, -5.0, 4.0, quen
229646.744840417, 229646.811702458, -5.0, 4.0, queq
229646.94505225, 229647.043552958, -5.0, 4.0, quem
229647.095031, 229647.260400958, -5.0, 4.0, quer
229647.528131083, 229647.626872583, -5.0, 4.0, quel
229647.711643167, 229647.760284875, -5.0, 4.0, ques
229648.811675, 229649.660415958, 17.3575000762939, 4.0, quesr
229648.811675, 229649.660415958, 17.3575000762939, 4.0, quesq
229650.295057833, 229650.360149708, -5.0, 4.0, quess
229650.461815458, 229650.527135917, -5.0, 4.0, quesp
229650.611819333, 229650.645177667, -5.0, 4.0, quest
229651.461869542, 229652.093770708, 8.19999980926514, 4.0, questi
229651.461869542, 229652.093770708, 8.19999980926514, 4.0, questh
229652.528544, 229652.610606042, -5.0, 4.0, questi
229655.462127583, 229656.7944045, 13.2325000762939, 4.0, questii
229655.462127583, 229656.7944045, 13.2325000762939, 4.0, questim
229657.362184167, 229657.444265083, -5.0, 4.0, questin
229657.528949375, 229657.59427975, -5.0, 4.0, questil
229657.6623855, 229657.744241875, -5.0, 4.0, questio
229658.412569708, 229659.027606625, 16.2024993896484, 4.0, questiop
229658.412569708, 229659.027606625, 16.2024993896484, 4.0, questioq
229659.66229475, 229659.761141042, -5.0, 4.0, questioo
229659.845707583, 229659.929044667, -5.0, 4.0, questior
229660.029371042, 229660.111061625, -5.0, 4.0, question
229661.112554458, 229661.727883083, 6.13749980926514, 4.0, questioni
229662.529213708, 229663.628133792, 14.2224998474121, 4.0, questionii
229662.529213708, 229663.628133792, 14.2224998474121, 4.0, questionin
229664.629280958, 229665.2960945, 4.07499980926514, 4.0, questionina
229664.629280958, 229665.2960945, 4.07499980926514, 4.0, questionini
229665.962802625, 229666.0293915, -5.0, 4.0, questionin
229666.112794292, 229666.178263167, -5.0, 4.0, questioninc
229666.32983, 229666.394821792, -5.0, 4.0, questionind
229666.546282458, 229666.596180375, -5.0, 4.0, questioninb
229666.74608925, 229666.828213708, -5.0, 4.0, questionine
229666.946490542, 229666.996238625, -5.0, 4.0, questioninf
229667.229517417, 229667.311513292, -5.0, 4.0, questioning
229669.3629605, 229669.813097333, 1.02250003814697, 4.0, questioninga
229669.3629605, 229669.813097333, 1.02250003814697, 4.0, questioningb
229670.229665667, 229670.312935167, -5.0, 4.0, questioning
229670.89646525, 229672.37869075, 18.0174999237061, 4.0, questioning r
229670.89646525, 229672.37869075, 18.0174999237061, 4.0, questioning s
229673.496475292, 229673.546504625, -5.0, 4.0, questioning q
229673.646617667, 229673.695278875, -5.0, 4.0, questioning t
229674.4134245, 229674.978627125, 7.04500007629395, 4.0, questioning ti
229674.4134245, 229674.978627125, 7.04500007629395, 4.0, questioning tg
229675.546684375, 229675.596732417, -5.0, 4.0, questioning t
229675.713464333, 229675.763480083, -5.0, 4.0, questioning tf
229675.91340325, 229675.962085125, -5.0, 4.0, questioning th
229676.696902917, 229677.213451833, 4.23999977111816, 4.0, questioning tha
229676.696902917, 229677.213451833, 4.23999977111816, 4.0, questioning thi
229677.646888875, 229677.730108125, -5.0, 4.0, questioning th
229677.830137333, 229677.912224083, -5.0, 4.0, questioning thd
229677.996919708, 229678.078768875, -5.0, 4.0, questioning thc
229678.146798583, 229678.245783333, -5.0, 4.0, questioning the
229678.980322792, 229680.130641833, 3.00250053405762, 4.0, questioning thea
229678.980322792, 229680.130641833, 3.00250053405762, 4.0, questioning theb
229681.047086375, 229681.112513792, -5.0, 4.0, questioning the
229681.83049475, 229684.079470417, 20.1625003814697, 4.0, questioning the u
229681.83049475, 229684.079470417, 20.1625003814697, 4.0, questioning the t
229684.497162458, 229684.579324333, -5.0, 4.0, questioning the v
229684.697497875, 229684.779472833, -5.0, 4.0, questioning the s
229684.847331917, 229684.946055667, -5.0, 4.0, questioning the w
229685.797360042, 229686.497521042, 6.13749980926514, 4.0, questioning the wi
229687.364196958, 229688.67952525, 19.1725006103516, 4.0, questioning the wit
229687.364196958, 229688.67952525, 19.1725006103516, 4.0, questioning the wis
229689.697666958, 229690.864502458, 3.00250053405762, 4.0, questioning the wisa
229689.697666958, 229690.864502458, 3.00250053405762, 4.0, questioning the wisb
229691.381051542, 229691.464341417, -5.0, 4.0, questioning the wis
229691.564382042, 229691.647814083, -5.0, 4.0, questioning the wisc
229691.714532125, 229691.796450458, -5.0, 4.0, questioning the wisd
229692.497854333, 229693.163365917, 14.5524997711182, 4.0, questioning the wisdi
229692.497854333, 229693.163365917, 14.5524997711182, 4.0, questioning the wisdo
229694.06467125, 229694.813462625, 9.02500057220459, 4.0, questioning the wisdoi
229694.06467125, 229694.813462625, 9.02500057220459, 4.0, questioning the wisdoh
229695.781285417, 229695.863380417, -5.0, 4.0, questioning the wisdoj
229695.948241458, 229696.03009475, -5.0, 4.0, questioning the wisdog
229696.064734583, 229696.213478667, -5.0, 4.0, questioning the wisdok
229696.281353, 229696.346923083, -5.0, 4.0, questioning the wisdof
229696.381444583, 229696.446897417, -5.0, 4.0, questioning the wisdol
229696.498241667, 229696.54821475, -5.0, 4.0, questioning the wisdoe
229696.848125417, 229696.89684075, -5.0, 4.0, questioning the wisdom
229697.848197708, 229698.847009083, 16.4499988555908, 4.0, questioning the wisdomq
229697.848197708, 229698.847009083, 16.4499988555908, 4.0, questioning the wisdomp
229699.665003125, 229699.764993583, -5.0, 4.0, questioning the wisdomr
229699.881887125, 229699.946996625, -5.0, 4.0, questioning the wisdomo
229700.598399, 229701.415085333, 4.15750026702881, 4.0, questioning the wisdomoa
229700.598399, 229701.415085333, 4.15750026702881, 4.0, questioning the wisdomoi
229702.065192208, 229702.130543333, -5.0, 4.0, questioning the wisdomo
229702.231878958, 229702.280466458, -5.0, 4.0, questioning the wisdomoc
229702.432008333, 229702.465274958, -5.0, 4.0, questioning the wisdomod
229702.6151715, 229702.697140458, -5.0, 4.0, questioning the wisdomob
229702.748550375, 229702.780531375, -5.0, 4.0, questioning the wisdomoe
229702.865357625, 229702.898559042, -5.0, 4.0, questioning the wisdomof
229706.698943917, 229707.032119083, 1.59999990463257, 4.0, questioning the wisdomofa
229706.698943917, 229707.032119083, 1.59999990463257, 4.0, questioning the wisdomofb
229708.198866042, 229708.28087975, -5.0, 4.0, questioning the wisdomof
229709.515658417, 229710.997782, 24.2875003814697, 4.0, questioning the wisdomof y
229709.515658417, 229710.997782, 24.2875003814697, 4.0, questioning the wisdomof z
229711.715678958, 229711.798990042, -5.0, 4.0, questioning the wisdomof x
229711.899119292, 229711.9477775, -5.0, 4.0, questioning the wisdomof w
229712.015810167, 229712.065715292, -5.0, 4.0, questioning the wisdomof v
229712.099138667, 229712.164537875, -5.0, 4.0, questioning the wisdomof u
229712.199106708, 229712.26575325, -5.0, 4.0, questioning the wisdomof t
229713.199377375, 229713.864736708, 6.38500022888184, 4.0, questioning the wisdomof ti
229713.199377375, 229713.864736708, 6.38500022888184, 4.0, questioning the wisdomof ta
229714.532753792, 229714.5993305, -5.0, 4.0, questioning the wisdomof t
229714.699292, 229714.782724458, -5.0, 4.0, questioning the wisdomof tf
229714.882767625, 229714.9647225, -5.0, 4.0, questioning the wisdomof te
229715.032744167, 229715.165941708, -5.0, 4.0, questioning the wisdomof tg
229715.415995, 229715.499358167, -5.0, 4.0, questioning the wisdomof td
229715.78263925, 229715.864638167, -5.0, 4.0, questioning the wisdomof th
229716.766169833, 229717.182865958, 4.15750026702881, 4.0, questioning the wisdomof tha
229716.766169833, 229717.182865958, 4.15750026702881, 4.0, questioning the wisdomof thi
229717.816095792, 229717.8993995, -5.0, 4.0, questioning the wisdomof th
229717.999915917, 229718.049627833, -5.0, 4.0, questioning the wisdomof thc
229718.099671, 229718.249568458, -5.0, 4.0, questioning the wisdomof thd
229718.299478833, 229718.349789542, -5.0, 4.0, questioning the wisdomof thb
229718.599535667, 229718.682809958, -5.0, 4.0, questioning the wisdomof the
229720.183042292, 229720.549732792, 0.362499713897705, 4.0, questioning the wisdomof thea
229720.183042292, 229720.549732792, 0.362499713897705, 4.0, questioning the wisdomof theb
229720.932928958, 229721.0163835, -5.0, 4.0, questioning the wisdomof the
229722.183109125, 229722.499881333, 2.25999975204468, 4.0, questioning the wisdomof the a
229722.183109125, 229722.499881333, 2.25999975204468, 4.0, questioning the wisdomof the b
229723.049777958, 229723.115160583, -5.0, 4.0, questioning the wisdomof the
229723.20002825, 229723.248650083, -5.0, 4.0, questioning the wisdomof the c
229724.383344042, 229725.033252708, 10.0150003433228, 4.0, questioning the wisdomof the ci
229724.383344042, 229725.033252708, 10.0150003433228, 4.0, questioning the wisdomof the cj
229725.983417875, 229726.032094875, -5.0, 4.0, questioning the wisdomof the ck
229726.800109583, 229726.849990458, -5.0, 4.0, questioning the wisdomof the ch
229726.983682042, 229727.066665542, -5.0, 4.0, questioning the wisdomof the cl
229727.283309333, 229727.417110833, -5.0, 4.0, questioning the wisdomof the cg
229727.500201375, 229727.566875625, -5.0, 4.0, questioning the wisdomof the cm
229727.6836895, 229727.79903, -5.0, 4.0, questioning the wisdomof the cf
229727.883484833, 229727.950276208, -5.0, 4.0, questioning the wisdomof the cn
229728.016819542, 229728.08351, -5.0, 4.0, questioning the wisdomof the ce
229728.11681175, 229728.166738, -5.0, 4.0, questioning the wisdomof the cin
229729.166986875, 229729.350088875, 100.0, 1.0, questioning the wisdomof the c
229730.250200958, 229730.832441667, 15.0475006103516, 4.0, questioning the wisdomof the co
229730.250200958, 229730.832441667, 15.0475006103516, 4.0, questioning the wisdomof the cp
229731.650240375, 229731.715789333, -5.0, 4.0, questioning the wisdomof the co
229734.233890958, 229735.549405208, 20.0799999237061, 4.0, questioning the wisdomof the cou
229736.617666208, 229738.250771833, 15.2950000762939, 4.0, questioning the wisdomof the couo
229736.617666208, 229738.250771833, 15.2950000762939, 4.0, questioning the wisdomof the coup
229738.834158958, 229738.91631125, -5.0, 4.0, questioning the wisdomof the coun
229739.017512458, 229739.067603292, -5.0, 4.0, questioning the wisdomof the couq
229739.167532792, 229739.232903917, -5.0, 4.0, questioning the wisdomof the coum
229739.484237833, 229739.5828685, -5.0, 4.0, questioning the wisdomof the cour
